N, t_def, p_def, t_avx2, p_avx2, t_avx2rsqrt, p_avx2rsqrt, t_avx512, p_avx512, t_avx512rsqrt, p_avx512rsqrt, t_avx512rsqrt4i, p_avx512rsqrt4i,t_full,p_full,t_full_rsqrt,p_full_rsqrt,p_avx2_max,p_avx512_max,p_avx512rsqrt_max,p_avx512rsqrt4i_max,p_full_rsqrt8i_max
8448,0.303928,234.792964,0.070021,1019.124352,0.074739,954.794986,0.083094,858.785185,0.046822,1524.08163,0.04132,1727.012949,0.138486,515.287484,0.062203,1147.208969,1040,880,1530,1717,1257
8576,0.312952,234.985912,0.072507,1014.231306,0.077396,950.166975,0.084613,869.120002,0.048388,1519.79058,0.042727,1721.131854,0.142658,515.491936,0.06379,1152.840701,1040,880,1530,1717,1257
8704,0.32225,235.068501,0.074696,1014.11695,0.07961,951.521045,0.08831,857.786082,0.049672,1525.03059,0.043867,1726.83248,0.146863,515.791396,0.065735,1152.373269,1040,880,1530,1717,1257
8832,0.331808,235.061736,0.076768,1015.987254,0.082121,949.766221,0.089277,873.63073,0.052118,1496.520417,0.045457,1715.792036,0.151475,514.906741,0.067656,1152.823548,1040,880,1530,1717,1257
8960,0.34163,234.969679,0.078887,1017.56637,0.084709,947.625797,0.093418,859.288646,0.052637,1525.033576,0.046447,1728.280197,0.15574,515.425645,0.069955,1147.487721,1040,880,1530,1717,1257
9088,0.350129,235.863318,0.08164,1011.545095,0.086762,951.835096,0.094568,873.266683,0.054301,1520.839208,0.04794,1722.610776,0.160186,515.543672,0.071662,1152.387195,1040,880,1530,1717,1257
9216,0.362176,234.486746,0.083999,1011.03475,0.088924,955.034366,0.098948,858.282816,0.055663,1525.696919,0.049153,1727.782582,0.164677,515.708945,0.073767,1151.270318,1040,880,1530,1717,1257
9344,0.372759,234.201947,0.08605,1014.536917,0.092192,946.952397,0.099343,878.785155,0.058315,1497.047222,0.05086,1716.496914,0.169371,515.442259,0.075696,1153.30586,1040,880,1530,1717,1257
9472,0.380563,235.728107,0.088327,1015.64989,0.094245,951.86881,0.104343,859.753352,0.058811,1525.39205,0.051895,1728.673567,0.173913,515.827899,0.078276,1146.063556,1040,880,1530,1717,1257
9600,0.391857,235.163619,0.090825,1014.596229,0.097067,949.351495,0.105221,875.779708,0.060555,1521.76376,0.053457,1723.824153,0.178703,515.662173,0.079891,1153.451222,1040,880,1530,1717,1257
9728,0.404809,233.750457,0.093116,1016.198835,0.099368,952.265459,0.110177,858.835416,0.06199,1526.43292,0.054733,1728.842229,0.183409,515.919073,0.082084,1152.777034,1040,880,1530,1717,1257
9856,0.414584,234.285175,0.095851,1013.352385,0.102354,948.968043,0.110618,878.074236,0.064833,1498.178375,0.056528,1718.280904,0.188447,515.428474,0.084206,1153.489759,1040,880,1530,1717,1257
9984,0.424937,234.553215,0.098135,1015.647255,0.104793,951.112868,0.115573,862.402834,0.0653,1526.344202,0.057605,1730.227221,0.193178,515.950074,0.086836,1147.805022,1040,880,1530,1717,1257
10112,0.434929,235.078684,0.101152,1010.781012,0.107732,949.043861,0.117227,872.177123,0.067158,1522.410559,0.059276,1724.859456,0.198269,515.674133,0.08861,1153.847787,1040,880,1530,1717,1257
10240,0.448451,233.799126,0.103517,1012.853421,0.110093,952.352225,0.122179,858.145212,0.068674,1526.733999,0.060646,1728.850713,0.203221,515.928974,0.091079,1151.175717,1040,880,1530,1717,1257
10368,0.458951,234.197476,0.10629,1011.240376,0.113246,949.129671,0.122458,877.731712,0.07172,1498.677958,0.062528,1718.99653,0.208697,515.029034,0.093194,1153.352559,1040,880,1530,1717,1257
